Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-05-03,23.341571807861328,23.492844897846208,23.12978775068946,23.197861146113958,43989500
2010-05-04,22.789419174194336,23.107094516327095,22.501999313531723,23.084404347885243,82085600
2010-05-05,22.577632904052734,22.75916143537987,22.45661388316798,22.51712339361036,66833800
2010-05-06,21.919593811035156,22.60032626030654,21.11027845358334,22.38097979497565,128613000
2010-05-07,21.337186813354492,21.896901615484097,20.664018296622682,21.881773876472895,173718100
2010-05-10,21.889339447021484,22.297778333439897,21.7153733201948,21.942285095014547,86653300
2010-05-11,21.843950271606445,22.42635512608281,21.60947613327374,21.69267723895903,63789400
2010-05-12,22.267520904541016,22.373412184400646,21.874208375547404,21.919590146535747,47146800
2010-05-13,22.116247177124023,22.48686811213127,22.070865404563687,22.13137491553098,45188800
2010-05-14,21.881772994995117,22.093555561978146,21.66242511615065,22.085993135437786,63334000
2010-05-17,21.889339447021484,22.10868590908713,21.518718468409343,22.025486223381193,46053300
2010-05-18,21.72979164123535,22.033704517155034,21.577834478690058,21.934933375920224,52690600
2010-05-19,21.456260681152344,21.79816343450226,21.114359376972743,21.66900033314455,61746700
2010-05-20,20.59770393371582,21.152344808087125,20.5445193908542,21.007985728055516,87991100
2010-05-21,20.392562866210938,20.59770449354139,20.088650149334427,20.23300778411943,117596300
2010-05-24,19.959487915039062,20.40775973499516,19.95188991564673,20.40016173560283,73711700
2010-05-25,19.80752944946289,20.00507307242912,19.28327912117444,19.488420743005154,98373600
2010-05-26,19.00216293334961,20.21781537892612,18.660260184878926,19.929097180401918,176684100
2010-05-27,19.754343032836914,20.027865169333662,19.549201430464354,19.549201430464354,136433600
2010-05-28,19.602392196655273,19.845523866998104,19.496023087184952,19.632784198887038,67496900
2010-06-01,19.670772552490234,19.98988132682686,19.389653780557023,19.397251781037706,76152400
2010-06-02,20.103853225708008,20.119049230290027,19.549212101001196,19.79994037992145,65718800
2010-06-03,20.407758712768555,20.460943256680647,20.065856003090623,20.172225090914807,67837000
2010-06-04,19.59480094909668,20.187430661322036,19.465637802991264,19.830333233463918,89832200
2010-06-07,19.21489906311035,19.62518083696205,19.17690907069906,19.61758283847979,80456200
2010-06-08,19.07813835144043,19.192105432500718,18.72863766046281,19.184507433874025,87355000
2010-06-09,18.835010528564453,19.389651454586218,18.804618530287527,19.16171581501998,87794000
2010-06-10,18.994558334350586,19.10852539452273,18.827406742709428,19.0933294000545,78930900
2010-06-11,19.49601936340332,19.54160590887341,18.81981338377807,19.024955012148702,68057700
2010-06-14,19.374452590942383,19.72395182443228,19.35165859560477,19.647974738313625,50972400
2010-06-15,20.195024490356445,20.248209048496033,19.55680689434035,19.56440489538465,81641500
2010-06-16,19.997480392456055,20.19502406796457,19.92909983365809,20.111447507395837,48698000
2010-06-17,20.035463333129883,20.26339748264841,19.784735188991508,20.179820951545626,47995500
2010-06-18,20.088653564453125,20.157034118521462,19.883511902248106,20.035469011104503,52075600
2010-06-21,19.716358184814453,20.43055275408385,19.67077018741154,20.346977657185658,54625300
2010-06-22,19.579591751098633,20.09624398739897,19.571993753603646,19.87590640755389,55985400
2010-06-23,19.23009490966797,19.587193616601677,19.16171436787939,19.587193616601677,61466200
2010-06-24,18.994558334350586,19.541601092678757,18.94137380288157,19.344057512101134,85243400
2010-06-25,18.637470245361328,19.07814415558541,18.47031712306118,19.032556149956,156256700
2010-06-28,18.470319747924805,18.698255460952847,18.32596205709482,18.6222768899435,73784800
